occupation,AGI-specific,NOT AGI-specific
Histotechnologists,10,6
Camera and Photographic Equipment Repairers,9,6
Nuclear Monitoring Technicians,10,6
Gas Plant Operators,13,6
Logistics Engineers,24,6
"Maintenance Workers, Machinery",12,6
"Insulation Workers, Mechanical",3,6
"Inspectors, Testers, Sorters, Samplers, and Weighers",25,6
"Bus Drivers, School",11,6
Prepress Technicians and Workers,8,7
Energy Auditors,14,7
Reservation and Transportation Ticket Agents and Travel Clerks,14,7
Endoscopy Technicians,5,7
Medical Appliance Technicians,8,7
Remote Sensing Technicians,14,7
Bartenders,13,7
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",22,7
Document Management Specialists,16,7
"Loading and Moving Machine Operators, Underground Mining",18,7
Physical Medicine and Rehabilitation Physicians,8,7
Software Quality Assurance Analysts and Testers,23,7
Medical Records Specialists,10,7
Registered Nurses,20,7
"Model Makers, Metal and Plastic",9,7
"Refractory Materials Repairers, Except Brickmasons",3,7
Forest and Conservation Technicians,13,7
Recreational Vehicle Service Technicians,10,7
Wind Turbine Service Technicians,5,7
Demonstrators and Product Promoters,14,7
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",7,7
"Cutters and Trimmers, Hand",11,7
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5,7
Forensic Science Technicians,17,7
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",8,7
Radiologists,23,7
Wind Energy Engineers,9,7
Audio and Video Technicians,22,7
Occupational Therapists,10,7
Nurse Midwives,14,7
Gem and Diamond Workers,7,7
Non-Destructive Testing Specialists,9,7
Electrical and Electronics Drafters,23,7
Geographic Information Systems Technologists and Technicians,22,7
Animal Caretakers,15,7
Tool and Die Makers,10,7
Computer Numerically Controlled Tool Programmers,9,7
Network and Computer Systems Administrators,13,7
Helpers--Carpenters,11,7
Security and Fire Alarm Systems Installers,9,7
"Helpers--Installation, Maintenance, and Repair Workers",9,7
Laundry and Dry-Cleaning Workers,16,7
"Coin, Vending, and Amusement Machine Servicers and Repairers",11,7
Radiation Therapists,15,7
"Switchboard Operators, Including Answering Service",12,7
Hazardous Materials Removal Workers,14,7
Acupuncturists,11,7
Water/Wastewater Engineers,21,7
"Farmers, Ranchers, and Other Agricultural Managers",23,7
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",17,7
"Tank Car, Truck, and Ship Loaders",12,7
Solar Energy Systems Engineers,6,7
Print Binding and Finishing Workers,18,7
Gambling Dealers,14,7
Timing Device Assemblers and Adjusters,9,8
Radio Frequency Identification Device Specialists,13,8
Licensed Practical and Licensed Vocational Nurses,14,8
"Cooks, Restaurant",12,8
Respiratory Therapists,14,8
Skincare Specialists,10,8
Stationary Engineers and Boiler Operators,17,8
Ship Engineers,9,8
"Service Unit Operators, Oil and Gas",11,8
"Stone Cutters and Carvers, Manufacturing",8,8
Security Guards,6,8
Continuous Mining Machine Operators,7,8
School Bus Monitors,10,8
Desktop Publishers,10,8
Occupational Therapy Assistants,14,8
Tapers,8,8
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",20,8
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",11,8
Robotics Engineers,16,8
Machinists,21,8
"Computer, Automated Teller, and Office Machine Repairers",17,8
"Teaching Assistants, Special Education",22,8
Sound Engineering Technicians,6,8
Nuclear Medicine Technologists,9,8
Acute Care Nurses,19,8
"Ushers, Lobby Attendants, and Ticket Takers",15,8
Chiropractors,3,8
Photonics Technicians,16,8
Wellhead Pumpers,6,8
Paramedics,5,8
